date,unit,avgPrice
2006-01,6.2,159970
2006-02,6.5,160231
2006-03,6.5,161531
2006-04,7.3,165042
2006-05,7.1,166606
2006-06,7.3,168184
2006-07,7.4,170604
2006-08,7.9,172037
2006-09,8.5,172738
2006-10,9.4,173750
2006-11,9.6,174644
2006-12,10.4,176819
2007-01,10.5,176758
2007-02,10.6,177261
2007-03,10.6,178636
2007-04,10.4,182243
2007-05,10.6,184330
2007-06,10.8,186348
2007-07,10.6,188691
2007-08,10.3,189786
2007-09,10,190032
2007-10,9.1,189589
2007-11,8.5,189489
2007-12,7,189193
2008-01,5.1,185782
2008-02,3.9,184185
2008-03,2.4,182845
2008-04,0.5,183148
2008-05,0,184267
2008-06,-2.4,181831
2008-07,-4.7,179845
2008-08,-7.2,176092
2008-09,-9.7,171660
2008-10,-11.3,168177
2008-11,-13.7,163447
2008-12,-14.9,160954
2009-01,-15.4,157234
2009-02,-15.6,155417
2009-03,-15.5,154452
2009-04,-14.9,155852
2009-05,-14.3,158004
2009-06,-12.2,159561
2009-07,-9.7,162423
2009-08,-6.9,164025
2009-09,-3.7,165314
2009-10,-1,166425
2009-11,2.2,166986
2009-12,4.4,168082
2010-01,6.5,167469
2010-02,8,167888
2010-03,8.7,167878
2010-04,9.1,170028
2010-05,8.1,170846
2010-06,7.6,171689
2010-07,6.8,173427
2010-08,5.7,173417
2010-09,4.6,172972
2010-10,2.8,171045
2010-11,1.2,169013
2010-12,0.4,168703
2011-01,-0.1,167300
2011-02,-0.9,166415
2011-03,-1.3,165649
2011-04,-1.1,168218
2011-05,-2,167470
2011-06,-2.3,167753
2011-07,-2.1,169866
2011-08,-2,169968
2011-09,-2,169544
2011-10,-2,167673
2011-11,-0.7,167757
2011-12,-1,167048
2012-01,-0.8,165908
2012-02,-0.6,165457
2012-03,0.2,165947
2012-04,-0.2,167854
2012-05,0.6,168395
2012-06,1.4,170049
2012-07,0.5,170701
2012-08,0.5,170902
2012-09,0.4,170295
2012-10,0.8,169090
2012-11,0.9,169227
2012-12,1.1,168843
2013-01,1.1,167716
2013-02,1.3,167682
2013-03,1.6,168681
2013-04,1.5,170335
2013-05,1.7,171234
2013-06,1.5,172655
2013-07,2.3,174592
2013-08,3,175982
2013-09,3.4,176098
2013-10,3.7,175378
2013-11,4.2,176352
2013-12,5.4,177971
2014-01,6.2,178182
2014-02,6.7,178921
2014-03,6.4,179537
2014-04,7.7,183532
2014-05,8.3,185476
2014-06,8.4,187077
2014-07,8.7,189709
2014-08,9.1,191932
2014-09,9.1,192138
2014-10,9.4,191855
2014-11,8.4,191209
2014-12,7.7,191669
2015-01,7,190665
2015-02,6.7,190827
2015-03,6.7,191537
2015-04,5.3,193225
2015-05,5.3,195313
2015-06,5.2,196802
2015-07,5.5,200142
2015-08,5.2,201973
2015-09,5.3,202389
2015-10,5.6,202664
2015-11,6.8,204223
2015-12,6.9,204920
2016-01,7.8,205464
2016-02,7.7,205555
2016-03,8.4,207667
2016-04,7.9,208443
2016-05,8,210872
2016-06,8.2,212887
2016-07,7.5,215127
2016-08,6.5,215145
2016-09,6.1,214816
2016-10,5.6,214107
2016-11,5.3,215113
2016-12,5.2,215500
2017-01,4.8,215243
2017-02,4.9,215697
2017-03,3.6,215236
2017-04,4.9,218642
2017-05,4.3,219954
2017-06,4.2,221833
2017-07,4.5,224719
2017-08,4.9,225738
2017-09,4.7,224895
2017-10,5.1,225092
2017-11,4.3,224453
2017-12,4.6,225330
2018-01,4.3,224544
2018-02,4.4,225131
2018-03,4,223772
2018-04,3.3,225910
2018-05,3.1,226834
2018-06,2.9,228355
2018-07,2.9,231187
2018-08,2.7,231898
2018-09,2.9,231454
2018-10,2.7,231211
2018-11,2.6,230224
2018-12,2,229729
2019-01,1.7,228314
2019-02,1.2,227738
2019-03,1.5,227104
2019-04,1.3,228749
2019-05,1,229061
2019-06,0.7,230049
2019-07,0.6,232618
2019-08,0.6,233366
2019-09,0.9,233536
2019-10,0.7,232919
2019-11,0.8,232096
2019-12,0.9,231792
2020-01,1.6,231940
2020-02,1.3,230609
2020-03,2.5,232684
2020-04,0.7,230318
2020-05,1.1,231508
2020-06,2,234703
2020-07,1.7,236687
2020-08,2.4,239036
2020-09,3.5,241684
2020-10,4.7,243800
2020-11,6.3,246786
2020-12,7.3,248775
2021-01,7.4,249009
2021-02,8.6,250498
2021-03,9.3,254405
2021-04,9.3,251712
2021-05,9.4,253224
2021-06,13.1,265448
2021-07,8,255535
